,precision,recall,f1-score,support
Angry,0.5771543086172345,0.6167023554603854,0.5962732919254659,467.0
Disgust,0.7169811320754716,0.6785714285714286,0.6972477064220184,56.0
Fear,0.5344418052256532,0.4536290322580645,0.49073064340239914,496.0
Happy,0.8790697674418605,0.8446927374301676,0.8615384615384616,895.0
Neutral,0.6128,0.6309719934102141,0.6217532467532467,607.0
Sad,0.5555555555555556,0.5742725880551302,0.5647590361445783,653.0
Surprise,0.756578947368421,0.8313253012048193,0.7921928817451206,415.0
accuracy,0.6714962385065478,0.6714962385065478,0.6714962385065478,0.6714962385065478
macro avg,0.661797359469171,0.6614522051986015,0.6606421811330415,3589.0
weighted avg,0.6715687444158642,0.6714962385065478,0.670642724547003,3589.0
