,precision,recall,f1-score,support
Angry,0.1867704280155642,0.20556745182012848,0.19571865443425077,467.0
Disgust,0.1111111111111111,0.08928571428571429,0.09900990099009901,56.0
Fear,0.17813765182186234,0.1774193548387097,0.17777777777777778,496.0
Happy,0.440925700365408,0.4044692737430168,0.4219114219114219,895.0
Sad,0.2640901771336554,0.25114854517611024,0.25745682888540034,653.0
Surprise,0.3003731343283582,0.38795180722891565,0.33859095688748686,415.0
Neutral,0.25089605734767023,0.23064250411861614,0.24034334763948498,607.0
accuracy,0.28308721092226247,0.28308721092226247,0.28308721092226247,0.28308721092226247
macro avg,0.2474720371605185,0.24949780731588733,0.24725841264656026,3589.0
weighted avg,0.28582569865164564,0.28308721092226247,0.2834373460162669,3589.0
